beta,seed,epoch,J,h,gradient_J,gradient_h,mass_J,mass_h,instances_J,instances_h,learning_rate,cumulative_measurements,error_relative,error_J,error_h
0.2,2,7,0.7711885565683838,0.8821330492939479,-0.08321111077089403,-0.5901428096856076,8.472404005763757,6.976465317047692,140,116,0.3125,57344,0.36547724139185667,0.2288114434316162,0.4119113004707014
0.2,2,8,0.7366782962835043,0.9654039441796753,0.18239275454326673,-0.2934008179232275,8.630669917111174,7.226925409898445,139,117,0.29411764705882354,65536,0.3305618818114234,0.26332170371649566,0.3563973705468831
0.2,2,9,0.7480098039566707,1.054827637538052,-0.05461290609748478,-0.287322035109598,8.613235475946171,7.330594625498932,138,118,0.2777777777777778,73728,0.2837536803973623,0.2519901960433293,0.2967815749746319
0.2,2,10,0.793184390251201,1.132829283374009,-0.33278314175078066,-0.3830713223548932,8.788682490574834,7.597581226705382,137,119,0.2631578947368421,81920,0.2337566331981331,0.20681560974879898,0.24478047775066067
0.2,2,11,0.8832028654110186,1.1281737350817755,-0.48011968450403575,0.016553789825122654,9.084699421572015,7.945819116058874,136,120,0.25,90112,0.2161881957435265,0.11679713458898144,0.24788417661214965
0.2,2,12,0.9190695862046933,1.0454780378568982,-0.45990268072917223,0.706912926465922,9.441021068553573,8.225895871603456,136,120,0.23809523809523808,98304,0.25608889439020666,0.08093041379530674,0.3030146414287345
0.2,2,13,0.9597494851671142,1.125915254494517,-0.272018421902073,-0.3585784837235834,9.464513981100698,8.127778964401223,137,119,0.22727272727272727,106496,0.20870258615051254,0.040250514832885775,0.24938983033698867
0.2,2,14,0.92625488958311,1.0884209229649826,0.147912134098963,0.11038331202294921,9.753236478767985,8.477438363362499,136,120,0.2173913043478261,114688,0.23193877041043934,0.07374511041689003,0.27438605135667826
0.2,2,15,0.8912429900382438,1.07994310885948,0.16133483310274319,0.026043844932104245,9.557998761113867,8.26458012512108,137,119,0.20833333333333334,122880,0.24068867795458562,0.10875700996175619,0.28003792742701333
0.2,2,16,0.8206453024840561,1.1359874351735797,0.6047452875394328,-0.32005337479606627,9.40143028571941,8.12508834148947,137,119,0.2,131072,0.2250970764069067,0.1793546975159439,0.24267504321761355
